"Str1","Str2","freq"
"favorit","thing",4
"first","date",4
"first","day",4
"first","round",4
"first","team",4
"first","three",4
"found","way",4
"free","agent",4
"free","day",4
"free","speech",4
"get","away",4
"get","better",4
"get","done",4
"get","go",4
"get","money",4
"get","right",4
"get","start",4
"get","way",4
"go","make",4
"go","say",4
"good","friend",4
"good","guy",4
"gov","chris",4
"grand","prize",4
"great","day",4
"great","opportun",4
"groceri","store",4
"guy","im",4
"half","hour",4
"happi","new",4
"happi","time",4
"hard","get",4
"hard","rock",4
"help","get",4
"holiday","season",4
"home","one",4
"homer","rbi",4
"hope","see",4
"hour","later",4
"im","good",4
"im","think",4
"im","tri",4
"includ","two",4
"ive","heard",4
"ive","lost",4
"ive","made",4
"jack","white",4
"jersey","citi",4
"join","us",4
"just","day",4
"just","keep",4
"just","last",4
"just","start",4
"just","thought",4
"just","wait",4
"kansa","citi",4
"keep","go",4
"know","mani",4
"know","peopl",4
"know","time",4
"know","want",4
"lake","oswego",4
"last","one",4
"last","time",4
"last","wednesday",4
"late","s",4
"least","three",4
"legisl","session",4
"less","two",4
"like","mani",4
"like","someth",4
"littl","thing",4
"live","world",4
"lol","love",4
"lol","rt",4
"long","can",4
"look","good",4
"look","great",4
"look","see",4
"look","thing",4
"lot","thing",4
"love","look",4
"made","way",4
"make","life",4
"make","money",4
"make","us",4
"may","know",4
"mom","dad",4
"monday","night",4
"much","need",4
"much","time",4
"need","make",4
"need","need",4
"never","heard",4
"never","thought",4
"new","challeng",4
"new","orlean",4
"news","confer",4
"notr","dame",4
"nuclear","weapon",4
"number","one",4
"number","peopl",4
"number","year",4
"obama","administr",4
"one","els",4
"one","man",4
"one","million",4
"one","realli",4
"open","door",4
"orang","counti",4
"oven","degre",4
"peopl","like",4
"peopl","say",4
"plan","make",4
"play","catch",4
"play","game",4
"play","role",4
"play","well",4
"pleas","follow",4
"potato","pancak",4
"presid","commerci",4
"pretti","good",4
"prime","minist",4
"profil","pic",4
"properti","tax",4
"public","record",4
"question","whether",4
"rais","eyebrow",4
"red","light",4
"red","sox",4
"right","work",4
"said","come",4
"said","compani",4
"said","district",4
"said","first",4
"said","go",4
"said","good",4
"said","im",4
"said","monday",4
"said","never",4
"said","think",4
"said","tuesday",4
"sarah","palin",4
"say","lot",4
"say","someth",4
"seven","year",4
"sever","time",4
"someth","differ",4
"spring","break",4
"spring","game",4
"st","charl",4
"st","peter",4
"state","offici",4
"state","senat",4
"state","univers",4
"stay","tune",4
"still","need",4
"take","care",4
"take","nap",4
"take","one",4
"take","pictur",4
"tampa","bay",4
"team","play",4
"th","birthday",4
"that","good",4
"that","one",4
"there","lot",4
"thing","go",4
"thing","happen",4
"think","can",4
"think","feel",4
"think","im",4
"think","might",4
"third","parti",4
"three","hour",4
"three","men",4
"three","month",4
"three","week",4
"time","buy",4
"time","ive",4
"time","see",4
"time","think",4
"time","want",4
"time","year",4
"trash","can",4
"tri","figur",4
"tri","save",4
"two","minut",4
"two","season",4
"us","go",4
"us","know",4
"us","right",4
"video","game",4
"walk","around",4
"want","stay",4
"want","use",4
"washington","dc",4
"way","can",4
"way","go",4
"way","want",4
"week","realli",4
"well","done",4
"west","valley",4
"whether","’re",4
"whole","new",4
"whole","thing",4
"work","day",4
"work","hard",4
"work","toward",4
"work","way",4
"world","seri",4
"year","said",4
"yes","yes",4
"yesterday","afternoon",4
"yet","still",4
"york","time",4
"–","’s",3
"’m","also",3
"’m","use",3
"’s","’s",3
"’s","day",3
"’s","done",3
"’s","go",3
"’s","probabl",3
"’s","someth",3
"’ve","never",3
"“","dress”",3
"“","one",3
"absurd","imagin",3
"abus","neglect",3
"accomplish","thing",3
"across","board",3
"across","countri",3
"across","street",3
"acryl","paint",3
"actual","play",3
"ago","today",3
"ahead","time",3
"almost","alway",3
"almost","year",3
"along","way",3
"alreadi","won",3
"also","feel",3
"also","hit",3
"also","love",3
"also","plan",3
"also","said",3
"also","work",3
"alway","ask",3
"alway","go",3
"alway","love",3
"american","cancer",3
"american","idol",3
"among","mani",3
"amount","time",3
"anyon","els",3
"anyon","inform",3
"anyon","know",3
"arm","forc",3
"around","corner",3
"around","countri",3
"around","hous",3
"around","time",3
"around","year",3
"articl","said",3
"ask","’s",3
"associ","confer",3
"babi","babi",3
"babi","step",3
"back","forth",3
"back","hous",3
"back","time",3
"bad","guy",3
"base","upon",3
"becom","increas",3
"behind","home",3
"best","buy",3
"best","way",3
"better","job",3
"big","bill",3
"big","time",3
"bit","hard",3
"blake","babi",3
"blog","post",3
"board","public",3
"book","go",3
"book","one",3
"book","publish",3
"book","realli",3
"bottom","line",3
"brick","lane",3
"bright","color",3
"budget","director",3
"bueno","air",3
"bumper","sticker",3
"calori","g",3
"came","across",3
"came","home",3
"campaign","say",3
"can","caus",3
"can","choos",3
"can","come",3
"can","even",3
"can","good",3
"can","learn",3
"can","listen",3
"can","longer",3
"can","move",3
"can","never",3
"can","offer",3
"can","play",3
"can","realli",3
"can","take",3
"cancer","societi",3
"cancer","survivor",3
"cant","find",3
"cant","go",3
"cant","realli",3
"cant","sleep",3
"carbohydr","g",3
"central","bank",3
"chagrin","fall",3
"chang","mind",3
"charg","file",3
"children","year",3
"chocol","cake",3
"chop","onion",3
"chris","christi",3
"chung","ling",3
"cinco","de",3
"citi","hall",3
"civil","war",3
"close","door",3
"columbus","ohio",3
"come","across",3
"come","go",3
"command","chief",3
"compani","employe",3
"compani","manufactur",3
"complet","differ",3
"confer","call",3
"convent","center",3
"copic","marker",3
"counti","district",3
"countri","club",3
"coupl","hour",3
"coupl","year",3
"court","document",3
"court","hear",3
"court","report",3
"cream","mushroom",3
"credit","card",3
"david","stern",3
"day","come",3
"day","even",3
"day","father",3
"day","go",3
"day","im",3
"day","night",3
"day","right",3
"day","said",3
"day","still",3
"day","sun",3
"day","take",3
"day","thank",3
"dead","end",3
"deep","breath",3
"defend","champion",3
"defens","end",3
"defens","tackl",3
"del","mar",3
"depend","upon",3
"despit","fact",3
"didn’t","happen",3
"didn’t","know",3
"didnt","even",3
"didnt","make",3
"didnt","see",3
"differ","bank",3
"differ","reason",3
"dine","experi",3
"doesnt","make",3
"doesnt","seem",3
"don’t","get",3
"don’t","like",3
"done","better",3
"dont","forget",3
"dont","match",3
"draft","framework",3
"e","book",3
"earli","morn",3
"earli","s",3
"earth","one",3
"en","rout",3
"end","day",3
"english","term",3
"enjoy","one",3
"even","less",3
"ever","get",3
"ever","meet",3
"ever","see",3
"everi","littl",3
"everi","night",3
"ex","back",3
"fabric","paint",3
"fabric","roll",3
"fall","love",3
"far","less",3
"far","much",3
"feel","free",3
"feel","guilti",3
"feel","sorri",3
"feel","way",3
"fill","one",3
"final","start",3
"find","someon",3
"finish","anoth",3
"first","’s",3
"first","one",3
"first","start",3
"first","term",3
"first","year",3
"five","hour",3
"five","minut",3
"follow","love",3
"foot","arch",3
"four","hour",3
"four","month",3
"framework","plan",3
"free","food",3
"free","game",3
"free","throw",3
"friday","said",3
"friend","well",3
"front","door",3
"front","page",3
"front","runner",3
"front","us",3
"full","time",3
"futur","generat",3
"g","carbohydr",3
"g","fat",3
"g","fiber",3
"g","protein",3
"gain","exempt",3
"game","go",3
"game","onlin",3
"garden","plant",3
"get","close",3
"get","ex",3
"get","excit",3
"get","get",3
"get","kid",3
"get","love",3
"get","paid",3
"get","phone",3
"get","rid",3
"get","thing",3
"get","wrong",3
"give","us",3
"go","bed",3
"go","buy",3
"go","find",3
"go","go",3
"go","happen",3
"go","home",3
"go","like",3
"go","need",3
"go","place",3
"go","pretti",3
"go","run",3
"go","shop",3
"go","time",3
"go","way",3
"go","well",3
"go","work",3
"gold","medal",3
"golden","globe",3
"good","chanc",3
"good","go",3
"good","grief",3
"good","intent",3
"good","job",3
"good","look",3
"good","one",3
"good","servic",3
"good","way",3
"got","go",3
"got","great",3
"got","noth",3
"great","idea",3
"great","job",3
"great","place",3
"great","see",3
"great","thing",3
"great","way",3
"great","weekend",3
"group","like",3
"haha","yeah",3
"haji","lane",3
"happi","monday",3
"happi","mother",3
"hard","see",3
"hard","time",3
"havent","gotten",3
"havent","seen",3
"head","coach",3
"health","benefit",3
"health","insur",3
"hear","peopl",3
"hedg","fund",3
"help","creat",3
"help","lead",3
"help","learn",3
"help","make",3
"help","other",3
"help","peopl",3
"hes","best",3
"high","end",3
"high","enough",3
"high","heat",3
"high","recommend",3
"highest","level",3
"histori","club",3
"histori","first",3
"honest","dont",3
"hope","get",3
"hope","youll",3
"hour","pm",3
"hous","start",3
"human","be",3
"human","natur",3
"human","right",3
"hydraul","tabl",3
"illeg","immigr",3
"im","back",3
"im","gonna",3
"im","great",3
"im","interest",3
"im","just",3
"im","play",3
"im","readi",3
"im","still",3
"immigr","law",3
"infecti","diseas",3
"interest","rate",3
"iron","man",3
"isnt","exact",3
"issu","statement",3
"just","complet",3
"just","doesn’t",3
"just","done",3
"just","give",3
"just","good",3
"just","happen",3
"just","heard",3
"just","made",3
"just","might",3
"just","need",3
"just","realli",3
"just","said",3
"just","say",3
"just","think",3
"just","time",3
"just","two",3
"kaplan","said",3
"keep","eye",3
"keep","mind",3
"kid","school",3
"kind","thing",3
"knew","want",3
"knock","door",3
"know","’s",3
"know","can",3
"know","feel",3
"know","get",3
"know","know",3
"know","mean",3
"know","use",3
"la","russa",3
"last","minut",3
"last","moment",3
"last","number",3
"last","post",3
"late","night",3
"leagu","titl",3
"least","one",3
"leav","comment",3
"left","arm",3
"left","behind",3
"left","fielder",3
"less","like",3
"let","make",3
"life","better",3
"life","dont",3
"like","“",3
"like","first",3
"like","great",3
"like","just",3
"like","live",3
"like","love",3
"like","make",3
"like","old",3
"like","realli",3
"like","share",3
"like","thank",3
"like","think",3
"lime","juic",3
"limit","abil",3
"littl","boy",3
"live","build",3
"load","base",3
"loaf","bread",3
"local","communiti",3
"lol","im",3
"long","enough",3
"long","run",3
"long","sinc",3
"look","around",3
"look","back",3
"look","girl",3
"look","one",3
"look","quit",3
"lost","count",3
"lot","love",3
"love","live",3
"love","see",3
"love","someth",3
"love","thing",3
"love","time",3
"lower","price",3
"lt","fisher",3
"lump","sum",3
"lunch","break",3
"mad","men",3
"make","everi",3
"make","first",3
"make","happi",3
"make","look",3
"make","mistak",3
"make","next",3
"make","one",3
"make","smile",3
"make","someth",3
"make","way",3
"make","wonder",3
"make","year",3
"man","woman",3
"man’","version",3
"manag","partner",3
"manchest","unit",3
"mani","other",3
"mani","young",3
"may","even",3
"may","start",3
"mayb","can",3
"mayb","just",3
"medic","center",3
"medium","heat",3
"member","board",3
"member","said",3
"mg","cholesterol",3
"mg","sodium",3
"michael","jackson",3
"michigan","state",3
"mid","march",3
"mid","s",3
"middl","age",3
"might","abl",3
"might","just",3
"might","look",3
"million","year",3
"minor","leagu",3
"minut","walk",3
"miss","dot",3
"missouri","state",3
"mitt","romney",3
"montgomeri","said",3
"month","ago",3
"month","can",3
"moran","said",3
"morn","just",3
"much","easier",3
"much","like",3
"much","use",3
"much","work",3
"much","wors",3
"mushroom","soup",3
"music","play",3
"need","find",3
"need","littl",3
"need","new",3
"need","someth",3
"need","start",3
"need","walk",3
"neighborhood","watch",3
"never","mind",3
"never","realli",3
"new","book",3
"new","follow",3
"new","ipad",3
"new","jersey’",3
"new","singl",3
"night","live",3
"night","said",3
"nine","year",3
"north","carolina",3
"north","carolina’",3
"north","east",3
"noth","like",3
"now","like",3
"now","look",3
"now","one",3
"now","realli",3
"now","that",3
"now","time",3
"now","tri",3
"number","two",3
"nurs","home",3
"obama","said",3
"odd","futur",3
"offici","say",3
"often","use",3
"oh","realli",3
"ohio","state",3
"oil","gas",3
"old","boy",3
"old","man",3
"old","son",3
"one","book",3
"one","end",3
"one","eye",3
"one","goal",3
"one","made",3
"one","occas",3
"one","piec",3
"one","said",3
"one","teacher",3
"onlin","paintbal",3
"oregon","state",3
"overal","think",3
"paintbal","play",3
"part","’s",3
"part","team",3
"past","week",3
"peopl","can",3
"peopl","know",3
"peopl","least",3
"peopl","life",3
"peopl","read",3
"peopl","said",3
"peopl","think",3
"peopl","use",3
"per","serv",3
"phone","number",3
"place","live",3
"play","hard",3
"play","paintbal",3
"play","run",3
"playoff","game",3
"pleas","pleas",3
"plus","one",3
"pm","monday",3
"polic","author",3
"polic","say",3
"polit","scienc",3
"poor","man’",3
"pop","quiz",3
"popular","opinion",3
"presid","obama",3
"pretti","littl",3
"pretti","sure",3
"pretti","well",3
"previous","post",3
"price","rang",3
"prime","exampl",3
"privat","sector",3
"probabl","best",3
"project","now",3
"prosecutor","said",3
"protein","g",3
"public","hear",3
"public","safeti",3
"public","work",3
"push","hard",3
"put","us",3
"quit","bit",3
"rais","money",3
"rang","rover",3
"rbi","game",3
"readi","physiqu",3
"realiz","want",3
"realli","cool",3
"realli","easi",3
"realli","enjoy",3
"realli","feel",3
"realli","help",3
"realli","hope",3
"realli","matter",3
"realli","think",3
"realli","wish",3
"recent","year",3
"regular","season",3
"renew","energi",3
"return","home",3
"right","’s",3
"right","arm",3
"right","next",3
"ron","paul",3
"rose","garden",3
"rough","billion",3
"rt","just",3
"rush","limbaugh",3
"rv","park",3
"safe","place",3
"said","ad",3
"said","came",3
"said","can",3
"said","jim",3
"said","look",3
"said","mani",3
"said","plan",3
"said","recent",3
"said","refer",3
"said","thursday",3
"said","today",3
"said","use",3
"said","weve",3
"said","yes",3
"sakai","junko",3
"salt","pepper",3
"san","jose",3
"santa","ana",3
"saturday","april",3
"saturday","night",3
"saturday","pm",3
"say","’m",3
"say","’s",3
"say","“",3
"say","like",3
"say","shes",3
"say","thing",3
"say","word",3
"school","first",3
"school","histori",3
"school","student",3
"season","final",3
"season","first",3
"season","like",3
"second","best",3
"second","round",3
"second","third",3
"secret","servic",3
"see","can",3
"see","first",3
"see","one",3
"seen","year",3
"self","portrait",3
"senat","vote",3
"sent","email",3
"serv","calori",3
"serv","purpos",3
"servic","just",3
"set","time",3
"sever","year",3
"shot","shot",3
"show","us",3
"silicon","valley",3
"sinc","peopl",3
"sit","next",3
"six","year",3
"sleep","bed",3
"smell","like",3
"smoke","ban",3
"societi","american",3
"solv","problem",3
"someon","like",3
"someon","take",3
"someth","els",3
"someth","import",3
"soon","know",3
"south","dakota",3
"soviet","union",3
"spend","lot",3
"spent","day",3
"squar","foot",3
"stage","perform",3
"start","make",3
"start","new",3
"start","season",3
"start","see",3
"state","america",3
"state","championship",3
"state","plan",3
"stay","awak",3
"stay","silent",3
"step","forward",3
"still","go",3
"still","great",3
"still","look",3
"still","love",3
"still","think",3
"style","play",3
"sunday","afternoon",3
"super","bowl",3
"surpris","us",3
"sweet","pea",3
"t","shirt",3
"take","deep",3
"take","easi",3
"take","look",3
"take","us",3
"tax","exempt",3
"team","can",3
"tell","peopl",3
"tell","stori",3
"thank","great",3
"thank","support",3
"thank","wonder",3
"that","big",3
"that","just",3
"that","thing",3
"there","reason",3
"there","way",3
"thing","differ",3
"thing","get",3
"thing","keep",3
"thing","mani",3
"thing","realli",3
"thing","time",3
"think","’ll",3
"think","’ve",3
"think","right",3
"think","someon",3
"think","that",3
"think","your",3
"thought","’d",3
"thought","quit",3
"three","four",3
"three","member",3
"three","point",3
"throughout","year",3
"throw","first",3
"ticket","avail",3
"time","day",3
"time","famili",3
"time","know",3
"time","let",3
"time","littl",3
"time","open",3
"time","start",3
"time","work",3
"today","“",3
"today","got",3
"today","one",3
"took","job",3
"tooth","comb",3
"top","list",3
"tri","accomplish",3
"tri","see",3
"tri","take",3
"turn","around",3
"twenti","year",3
"twentieth","centuri",3
"two","game",3
"two","small",3
"tyson","chandler",3
"u","dont",3
"u","go",3
"u","r",3
"univers","citi",3
"us","compani",3
"us","get",3
"us","never",3
"us","said",3
"us","senat",3
"use","name",3
"use","phone",3
"use","simpl",3
"valley","colleg",3
"vast","major",3
"vietnames","girl",3
"view","futur",3
"wait","next",3
"want","add",3
"want","anyon",3
"want","come",3
"want","give",3
"want","one",3
"want","take",3
"want","us",3
"want","work",3
"war","ii",3
"wasn’t","sure",3
"way","live",3
"way","think",3
"way","work",3
"way","year",3
"wednesday","night",3
"week","follow",3
"week","month",3
"week","one",3
"week","said",3
"week","sinc",3
"week","year",3
"well","hope",3
"well","make",3
"well","play",3
"well","see",3
"well","today",3
"wesley","matthew",3
"west","coast",3
"west","virginia",3
"weve","seen",3
"white","hous",3
"white","stripe",3
"wide","tooth",3
"win","free",3
"wine","bar",3
"wish","list",3
"woman","like",3
"wonder","whether",3
"wont","let",3
"word","mouth",3
"work","can",3
"work","done",3
"work","home",3
"work","local",3
"work","togeth",3
"world","war",3
"wrong","dont",3
"yard","sale",3
"year","becom",3
"year","day",3
"year","last",3
"year","long",3
"year","now",3
"year","one",3
"year","prison",3
"year","year",3
"yeh","yeh",3
"yes","im",3
"yet","anoth",3
"young","children",3
"young","ladi",3
"young","man",3
"young","peopl",3
"your","tri",3
"youv","got",3
"–","guitar",2
"–","includ",2
"–","like",2
"–","peopl",2
"–","poor",2
"–","wordgraph",2
"—","includ",2
"—","just",2
"—","part",2
"—","take",2
"—","three",2
"’d","see",2
"’d","take",2
"’ll","get",2
"’ll","tell",2
"’m","say",2
"’m","tire",2
"’re","better",2
"’re","like",2
"’s","–",2
"’s","’ll",2
"’s","also",2
"’s","best",2
"’s","easi",2
"’s","enough",2
"’s","funni",2
"’s","great",2
"’s","happen",2
"’s","hard",2
"’s","last",2
"’s","lot",2
"’s","question",2
"’s","still",2
"’s","watch",2
"’s","worth",2
"’ve","actual",2
"’ve","alway",2
"’ve","given",2
"’ve","made",2
"’ve","need",2
"’ve","seen",2
"’ve","watch",2
"“","’s",2
"“","”",2
"“","can",2
"“","don’t",2
"“","game",2
"“","get",2
"“","holi",2
"“","know",2
"“","live",2
"“","say",2
"“","see",2
"“","thought",2
"“","time",2
"“’ve","around",2
"“breakout","kings”",2
"“build","busi",2
"“hope","reason",2
"“let","us",2
"”","“",2
"”","said",2
"”","thank",2
"£","£",2
"<U+0095>","block",2
"…","…",2
"abandon","us",2
"abil","make",2
"abil","see",2
"abl","finish",2
"abl","help",2
"abl","keep",2
"abl","make",2
"absent","island",2
"absolut","love",2
"absolut","unbeliev",2
"abus","boy",2
"academ","rank",2
"accord","polic",2
"accord","state",2
"accord","studi",2
"account","differ",2
"accur","report",2
"accus","take",2
"achiev","common",2
"acr","park",2
"across","one",2
"act","just",2
"act","like",2
"activ","member",2
"activ","pursu",2
"activ","use",2
"actual","approv",2
"actual","end",2
"actual","live",2
"actual","one",2
"actual","think",2
"actual","want",2
"ad","“",2
"admir","game",2
"adopt","children",2
"adrenalin","rush",2
"advanc","statist",2
"advic","like",2
"advis","client",2
"age","becam",2
"age","group",2
"age","year",2
"agenc","x",2
"agnost","pond",2
"ah","yes",2
"air","argentina",2
"airlin","merger",2
"airsoft","gun",2
"akron","ohio",2
"al","qaeda",2
"alberta","canada",2
"alex","pietrangelo",2
"allow","opinion",2
"alma","mater",2
"almost","forgot",2
"almost","like",2
"almost","long",2
"almost","week",2
"along","path",2
"alreadi","complet",2
"alreadi","place",2
"alreadi","provid",2
"alreadi","start",2
"also","becom",2
"also","begin",2
"also","call",2
"also","claim",2
"also","extend",2
"also","featur",2
"also","found",2
"also","hold",2
"also","import",2
"also","like",2
"also","made",2
"also","mean",2
"also","need",2
"also","report",2
"also","say",2
"also","take",2
"also","use",2
"also","want",2
"altern","fuel",2
"although","differ",2
"alway","advis",2
"alway","alway",2
"alway","better",2
"alway","come",2
"alway","end",2
"alway","good",2
"alway","leav",2
"alway","like",2
"alway","see",2
"alway","tell",2
"alway","thought",2
"alway","tri",2
"alway","welcom",2
"amaz","artist",2
"amaz","go",2
"amaz","see",2
"amazon","eu",2
"amazon","servic",2
"america","done",2
"american","leagu",2
"american","peopl",2
"american","poetri",2
"american","public",2
"american","societi",2
"among","defensemen",2
"among","poor",2
"analyst","say",2
"anaphor","phrase",2
"andi","burnett",2
"andr","miller",2
"andrew’","descent",2
"angela","morabito",2
"anim","group",2
"announc","say",2
"announc","week",2
"annual","averag",2
"anonym","onlin",2
"anoth","chanc",2
"anoth","idea",2
"anoth","provis",2
"anoth","question",2
"anoth","reason",2
"anoth","thing",2
"anoth","year",2
"answer","question",2
"answer","simpl",2
"answer","yes",2
"anti","war",2
"anyon","fix",2
"anyon","seen",2
"anyon","want",2
"anyth","away",2
"anyth","im",2
"anyth","just",2
"anyth","make",2
"anywher","near",2
"ap","—",2
"appar","websit",2
"appreci","gift",2
"appreci","longer<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63>tand",2
"appreci","thank",2
"april","open",2
"april","pm",2
"april","th",2
"arab","street",2
"area","much",2
"argument","whether",2
"arm","back",2
"armi","chief",2
"around","citi",2
"around","head",2
"around","troubl",2
"arriv","europ",2
"arriv","new",2
"art","center",2
"art","contest",2
"art","galleri",2
"art","show",2
"artist","director",2
"artist","writer",2
"ask","“",2
"ask","call",2
"ask","go",2
"ask","gov",2
"ask","person",2
"ask","recommend",2
"ask","resid",2
"ask","speak",2
"ask","whether",2
"assembl","hold",2
"associ","america",2
"associ","k",2
"athlet","director",2
"atlant","”",2
"atlant","citi",2
"atlant","counti",2
"attempt","make",2
"attent","larg",2
"attent","paid",2
"attract","thing",2
"author","“",2
"author","know",2
"author","said",2
"auto","industri",2
"auto","worker",2
"avail","mean",2
"avenu","bridg",2
"averag","american",2
"awar","time",2
"award","win",2
"awesom","im",2
